# Reverse mapping from OpenCode tool names to Claude/Codex equivalents.
# Format: <OpenCode tool>|<Claude value>|<Codex value>

# Web search/fetch
websearch_web_search_exa|WebSearch|web_search
websearch_web_fetch_exa|WebFetch|web_fetch
webfetch|WebFetch|web_fetch

# File/shell primitives
read|Read|Read
write|Write|Write
edit|Edit|Edit
bash|Bash|Bash

# Code intelligence
# Note: codegraph uses double underscores to mirror the original snake_case name in the MCP namespace.
codegraph_codegraph_explore|mcp__codegraph__explore|mcp__codegraph__explore

# GitHub issue tools
github_list_issues|mcp__github__list_issues|mcp__github__list_issues
github_issue_read|mcp__github__issue_read|mcp__github__issue_read
github_search_issues|mcp__github__search_issues|mcp__github__search_issues
github_issue_write|mcp__github__issue_write|mcp__github__issue_write
github_add_issue_comment|mcp__github__add_issue_comment|mcp__github__add_issue_comment

# GitHub PR tools
github_create_pull_request|mcp__github__create_pull_request|mcp__github__create_pull_request
github_pull_request_read|mcp__github__pull_request_read|mcp__github__pull_request_read
github_update_pull_request|mcp__github__update_pull_request|mcp__github__update_pull_request
github_update_pull_request_branch|mcp__github__update_pull_request_branch|mcp__github__update_pull_request_branch
github_pull_request_review_write|mcp__github__pull_request_review_write|mcp__github__pull_request_review_write
github_add_comment_to_pending_review|mcp__github__add_comment_to_pending_review|mcp__github__add_comment_to_pending_review
github_merge_pull_request|mcp__github__merge_pull_request|mcp__github__merge_pull_request
github_add_reply_to_pull_request_comment|mcp__github__add_reply_to_pull_request_comment|mcp__github__add_reply_to_pull_request_comment

# GitHub search/code tools
github_search_code|mcp__github__search_code|mcp__github__search_code
github_search_pull_requests|mcp__github__search_pull_requests|mcp__github__search_pull_requests
github_list_releases|mcp__github__list_releases|mcp__github__list_releases
